name,date,price
rice,2022-10-16,2763.42
rice,2022-10-17,2806.08
rice,2022-10-18,2791.86
rice,2022-10-19,2796.6
rice,2022-10-20,2791.86
rice,2022-10-21,2839.26
rice,2022-10-22,2872.44
rice,2022-10-23,2867.7
rice,2022-10-24,2881.92
rice,2022-10-25,2862.96
rice,2022-10-26,2806.08
rice,2022-10-27,2867.7
rice,2022-10-28,2829.78
rice,2022-10-29,2711.28
rice,2022-10-30,2730.24
rice,2022-10-31,2692.32
rice,2022-11-01,2640.18
rice,2022-11-02,2678.1
rice,2022-11-03,2701.8
rice,2022-11-04,2678.1
rice,2022-11-05,2716.02
rice,2022-11-06,2635.44
rice,2022-11-07,2550.12
rice,2022-11-08,2479.02
rice,2022-11-09,2611.74
rice,2022-11-10,2573.82
rice,2022-11-11,2592.78
rice,2022-11-12,2621.22
rice,2022-11-13,2526.42
rice,2022-11-14,2592.78
yellow rice,2022-10-16,5075
yellow rice,2022-10-17,5075
yellow rice,2022-10-18,5075
yellow rice,2022-10-19,5075
yellow rice,2022-10-20,5075
yellow rice,2022-10-21,5075
yellow rice,2022-10-22,5075
yellow rice,2022-10-23,5075
yellow rice,2022-10-24,5075
yellow rice,2022-10-25,5075
yellow rice,2022-10-26,5075
yellow rice,2022-10-27,5075
yellow rice,2022-10-28,5075
yellow rice,2022-10-29,5075
yellow rice,2022-10-30,5075
yellow rice,2022-10-31,5075
yellow rice,2022-11-01,5075
yellow rice,2022-11-02,5075
yellow rice,2022-11-03,5075
yellow rice,2022-11-04,5075
yellow rice,2022-11-05,5075
yellow rice,2022-11-06,5075
yellow rice,2022-11-07,5075
yellow rice,2022-11-08,5075
yellow rice,2022-11-09,5075
yellow rice,2022-11-10,5075
yellow rice,2022-11-11,5075
yellow rice,2022-11-12,5075
yellow rice,2022-11-13,5075
yellow rice,2022-11-14,5075
large yellow rice,2022-10-16,3108
large yellow rice,2022-10-17,3108
large yellow rice,2022-10-18,3108
large yellow rice,2022-10-19,3108
large yellow rice,2022-10-20,3108
large yellow rice,2022-10-21,3108
large yellow rice,2022-10-22,3108
large yellow rice,2022-10-23,3108
large yellow rice,2022-10-24,3108
large yellow rice,2022-10-25,3108
large yellow rice,2022-10-26,3108
large yellow rice,2022-10-27,3108
large yellow rice,2022-10-28,3108
large yellow rice,2022-10-29,3108
large yellow rice,2022-10-30,3108
large yellow rice,2022-10-31,3108
large yellow rice,2022-11-01,3108
large yellow rice,2022-11-02,3108
large yellow rice,2022-11-03,3108
large yellow rice,2022-11-04,3108
large yellow rice,2022-11-05,3108
large yellow rice,2022-11-06,3108
large yellow rice,2022-11-07,3108
large yellow rice,2022-11-08,3108
large yellow rice,2022-11-09,3108
large yellow rice,2022-11-10,3108
large yellow rice,2022-11-11,3108
large yellow rice,2022-11-12,3108
large yellow rice,2022-11-13,3108
large yellow rice,2022-11-14,3108
corn,2022-10-16,1759.8
corn,2022-10-17,1974
corn,2022-10-18,1873.2
corn,2022-10-19,1743
corn,2022-10-20,1780.8
corn,2022-10-21,1764
corn,2022-10-22,1734.6
corn,2022-10-23,1701
corn,2022-10-24,1814.4
corn,2022-10-25,1936.2
corn,2022-10-26,1974
corn,2022-10-27,2074.8
corn,2022-10-28,2016
corn,2022-10-29,2095.8
corn,2022-10-30,2116.8
corn,2022-10-31,2066.4
corn,2022-11-01,2011.8
